Data;Município1;DATA_DIA;DIA;STR_DATA;UF1;Escala de cor;Número de registros;Índice De Isolamento
terça-feira, 08/06;ESTADO DE SÃO PAULO;Tuesday;Terça-feira;Ranking dos municípios (8/6/2021);SP;Até 40%;1;40%
quarta-feira, 09/06;ESTADO DE SÃO PAULO;Wednesday;Quarta-feira;Ranking dos municípios (9/6/2021);SP;Até 40%;1;40%
quinta-feira, 10/06;ESTADO DE SÃO PAULO;Thursday;Quinta-feira;Ranking dos municípios (10/6/2021);SP;Até 40%;1;40%
quarta-feira, 16/06;ESTADO DE SÃO PAULO;Wednesday;Quarta-feira;Ranking dos municípios (16/6/2021);SP;Até 40%;1;40%
sexta-feira, 11/06;ESTADO DE SÃO PAULO;Friday;Sexta-feira;Ranking dos municípios (11/6/2021);SP;Até 40%;1;39%
terça-feira, 15/06;ESTADO DE SÃO PAULO;Tuesday;Terça-feira;Ranking dos municípios (15/6/2021);SP;Até 40%;1;40%
sábado, 12/06;ESTADO DE SÃO PAULO;Saturday;Sábado;Ranking dos municípios (12/6/2021);SP;>40-50%;1;42%
quinta-feira, 12/03;ESTADO DE SÃO PAULO;Thursday;Quinta-feira;Ranking dos municípios (12/3/2020);SP;Até 40%;1;28%
sexta-feira, 13/03;ESTADO DE SÃO PAULO;Friday;Sexta-feira;Ranking dos municípios (13/3/2020);SP;Até 40%;1;30%
terça-feira, 17/03;ESTADO DE SÃO PAULO;Tuesday;Terça-feira;Ranking dos municípios (17/3/2020);SP;Até 40%;1;38%
quarta-feira, 18/03;ESTADO DE SÃO PAULO;Wednesday;Quarta-feira;Ranking dos municípios (18/3/2020);SP;Até 40%;1;40%
quinta-feira, 19/03;ESTADO DE SÃO PAULO;Thursday;Quinta-feira;Ranking dos municípios (19/3/2020);SP;>40-50%;1;42%
sexta-feira, 20/03;ESTADO DE SÃO PAULO;Friday;Sexta-feira;Ranking dos municípios (20/3/2020);SP;>40-50%;1;44%
sábado, 21/03;ESTADO DE SÃO PAULO;Saturday;Sábado;Ranking dos municípios (21/3/2020);SP;>50-60%;1;56%
domingo, 22/03;ESTADO DE SÃO PAULO;Sunday;Domingo;Ranking dos municípios (22/3/2020);SP;>50-60%;1;56%
segunda-feira, 23/03;ESTADO DE SÃO PAULO;Monday;Segunda-feira;Ranking dos municípios (23/3/2020);SP;>50-60%;1;52%
terça-feira, 24/03;ESTADO DE SÃO PAULO;Tuesday;Terça-feira;Ranking dos municípios (24/3/2020);SP;>50-60%;1;54%
quarta-feira, 25/03;ESTADO DE SÃO PAULO;Wednesday;Quarta-feira;Ranking dos municípios (25/3/2020);SP;>50-60%;1;54%
quinta-feira, 26/03;ESTADO DE SÃO PAULO;Thursday;Quinta-feira;Ranking dos municípios (26/3/2020);SP;>50-60%;1;54%
sexta-feira, 27/03;ESTADO DE SÃO PAULO;Friday;Sexta-feira;Ranking dos municípios (27/3/2020);SP;>50-60%;1;53%
sábado, 28/03;ESTADO DE SÃO PAULO;Saturday;Sábado;Ranking dos municípios (28/3/2020);SP;>50-60%;1;56%
domingo, 29/03;ESTADO DE SÃO PAULO;Sunday;Domingo;Ranking dos municípios (29/3/2020);SP;>50-60%;1;59%
segunda-feira, 30/03;ESTADO DE SÃO PAULO;Monday;Segunda-feira;Ranking dos municípios (30/3/2020);SP;>50-60%;1;55%
terça-feira, 31/03;ESTADO DE SÃO PAULO;Tuesday;Terça-feira;Ranking dos municípios (31/3/2020);SP;>50-60%;1;55%
quarta-feira, 01/04;ESTADO DE SÃO PAULO;Wednesday;Quarta-feira;Ranking dos municípios (1/4/2020);SP;>50-60%;1;55%
quinta-feira, 02/04;ESTADO DE SÃO PAULO;Thursday;Quinta-feira;Ranking dos municípios (2/4/2020);SP;>50-60%;1;55%
sexta-feira, 03/04;ESTADO DE SÃO PAULO;Friday;Sexta-feira;Ranking dos municípios (3/4/2020);SP;>50-60%;1;54%
sábado, 04/04;ESTADO DE SÃO PAULO;Saturday;Sábado;Ranking dos municípios (4/4/2020);SP;>50-60%;1;57%
domingo, 05/04;ESTADO DE SÃO PAULO;Sunday;Domingo;Ranking dos municípios (5/4/2020);SP;>50-60%;1;59%
segunda-feira, 06/04;ESTADO DE SÃO PAULO;Monday;Segunda-feira;Ranking dos municípios (6/4/2020);SP;>50-60%;1;52%
terça-feira, 07/04;ESTADO DE SÃO PAULO;Tuesday;Terça-feira;Ranking dos municípios (7/4/2020);SP;>50-60%;1;51%
quarta-feira, 08/04;ESTADO DE SÃO PAULO;Wednesday;Quarta-feira;Ranking dos municípios (8/4/2020);SP;>40-50%;1;50%
quinta-feira, 09/04;ESTADO DE SÃO PAULO;Thursday;Quinta-feira;Ranking dos municípios (9/4/2020);SP;>40-50%;1;47%
sexta-feira, 10/04;ESTADO DE SÃO PAULO;Friday;Sexta-feira;Ranking dos municípios (10/4/2020);SP;>50-60%;1;57%
sábado, 11/04;ESTADO DE SÃO PAULO;Saturday;Sábado;Ranking dos municípios (11/4/2020);SP;>50-60%;1;55%
domingo, 12/04;ESTADO DE SÃO PAULO;Sunday;Domingo;Ranking dos municípios (12/4/2020);SP;>50-60%;1;59%
segunda-feira, 13/04;ESTADO DE SÃO PAULO;Monday;Segunda-feira;Ranking dos municípios (13/4/2020);SP;>40-50%;1;50%
terça-feira, 14/04;ESTADO DE SÃO PAULO;Tuesday;Terça-feira;Ranking dos municípios (14/4/2020);SP;>40-50%;1;50%
quarta-feira, 15/04;ESTADO DE SÃO PAULO;Wednesday;Quarta-feira;Ranking dos municípios (15/4/2020);SP;>40-50%;1;50%
quinta-feira, 16/04;ESTADO DE SÃO PAULO;Thursday;Quinta-feira;Ranking dos municípios (16/4/2020);SP;>40-50%;1;49%
sexta-feira, 17/04;ESTADO DE SÃO PAULO;Friday;Sexta-feira;Ranking dos municípios (17/4/2020);SP;>40-50%;1;49%
sábado, 18/04;ESTADO DE SÃO PAULO;Saturday;Sábado;Ranking dos municípios (18/4/2020);SP;>50-60%;1;54%
domingo, 19/04;ESTADO DE SÃO PAULO;Sunday;Domingo;Ranking dos municípios (19/4/2020);SP;>50-60%;1;59%
segunda-feira, 20/04;ESTADO DE SÃO PAULO;Monday;Segunda-feira;Ranking dos municípios (20/4/2020);SP;>50-60%;1;51%
terça-feira, 21/04;ESTADO DE SÃO PAULO;Tuesday;Terça-feira;Ranking dos municípios (21/4/2020);SP;>50-60%;1;57%
quarta-feira, 22/04;ESTADO DE SÃO PAULO;Wednesday;Quarta-feira;Ranking dos municípios (22/4/2020);SP;>40-50%;1;48%
quinta-feira, 23/04;ESTADO DE SÃO PAULO;Thursday;Quinta-feira;Ranking dos municípios (23/4/2020);SP;>40-50%;1;48%
sexta-feira, 24/04;ESTADO DE SÃO PAULO;Friday;Sexta-feira;Ranking dos municípios (24/4/2020);SP;>40-50%;1;48%
sábado, 25/04;ESTADO DE SÃO PAULO;Saturday;Sábado;Ranking dos municípios (25/4/2020);SP;>50-60%;1;52%
domingo, 26/04;ESTADO DE SÃO PAULO;Sunday;Domingo;Ranking dos municípios (26/4/2020);SP;>50-60%;1;58%
segunda-feira, 27/04;ESTADO DE SÃO PAULO;Monday;Segunda-feira;Ranking dos municípios (27/4/2020);SP;>40-50%;1;48%
terça-feira, 28/04;ESTADO DE SÃO PAULO;Tuesday;Terça-feira;Ranking dos municípios (28/4/2020);SP;>40-50%;1;48%
quarta-feira, 29/04;ESTADO DE SÃO PAULO;Wednesday;Quarta-feira;Ranking dos municípios (29/4/2020);SP;>40-50%;1;47%
quinta-feira, 30/04;ESTADO DE SÃO PAULO;Thursday;Quinta-feira;Ranking dos municípios (30/4/2020);SP;>40-50%;1;46%
sexta-feira, 01/05;ESTADO DE SÃO PAULO;Friday;Sexta-feira;Ranking dos municípios (1/5/2020);SP;>50-60%;1;56%
sábado, 02/05;ESTADO DE SÃO PAULO;Saturday;Sábado;Ranking dos municípios (2/5/2020);SP;>50-60%;1;53%
domingo, 03/05;ESTADO DE SÃO PAULO;Sunday;Domingo;Ranking dos municípios (3/5/2020);SP;>50-60%;1;59%
segunda-feira, 04/05;ESTADO DE SÃO PAULO;Monday;Segunda-feira;Ranking dos municípios (4/5/2020);SP;>40-50%;1;47%
terça-feira, 05/05;ESTADO DE SÃO PAULO;Tuesday;Terça-feira;Ranking dos municípios (5/5/2020);SP;>40-50%;1;47%
quarta-feira, 06/05;ESTADO DE SÃO PAULO;Wednesday;Quarta-feira;Ranking dos municípios (6/5/2020);SP;>40-50%;1;47%
quinta-feira, 07/05;ESTADO DE SÃO PAULO;Thursday;Quinta-feira;Ranking dos municípios (7/5/2020);SP;>40-50%;1;47%
sexta-feira, 08/05;ESTADO DE SÃO PAULO;Friday;Sexta-feira;Ranking dos municípios (8/5/2020);SP;>40-50%;1;46%
sábado, 09/05;ESTADO DE SÃO PAULO;Saturday;Sábado;Ranking dos municípios (9/5/2020);SP;>40-50%;1;50%
domingo, 10/05;ESTADO DE SÃO PAULO;Sunday;Domingo;Ranking dos municípios (10/5/2020);SP;>50-60%;1;53%
segunda-feira, 11/05;ESTADO DE SÃO PAULO;Monday;Segunda-feira;Ranking dos municípios (11/5/2020);SP;>40-50%;1;48%
