data;mun_id;drs_desc;mun_desc;casos_ativos;suspeitos;em_isol
01/05/2020;3503208;DRS 03 - Araraquara;Araraquara;26;24;50
02/05/2020;3503209;DRS 03 - Araraquara;Araraquara;25;52;77
03/05/2020;3503210;DRS 03 - Araraquara;Araraquara;27;25;52
04/05/2020;3503211;DRS 03 - Araraquara;Araraquara;23;43;66
05/05/2020;3503212;DRS 03 - Araraquara;Araraquara;28;26;54
06/05/2020;3503213;DRS 03 - Araraquara;Araraquara;25;37;62
07/05/2020;3503214;DRS 03 - Araraquara;Araraquara;26;36;62
08/05/2020;3503215;DRS 03 - Araraquara;Araraquara;22;36;58
09/05/2020;3503216;DRS 03 - Araraquara;Araraquara;25;36;61
10/05/2020;3503217;DRS 03 - Araraquara;Araraquara;26;26;52
11/05/2020;3503218;DRS 03 - Araraquara;Araraquara;20;42;62
12/05/2020;3503219;DRS 03 - Araraquara;Araraquara;28;29;57
13/05/2020;3503220;DRS 03 - Araraquara;Araraquara;31;39;70
14/05/2020;3503221;DRS 03 - Araraquara;Araraquara;30;51;81
15/05/2020;3503222;DRS 03 - Araraquara;Araraquara;28;60;88
16/05/2020;3503223;DRS 03 - Araraquara;Araraquara;28;64;92
17/05/2020;3503224;DRS 03 - Araraquara;Araraquara;28;36;64
18/05/2020;3503225;DRS 03 - Araraquara;Araraquara;22;60;82
19/05/2020;3503226;DRS 03 - Araraquara;Araraquara;27;60;87
20/05/2020;3503227;DRS 03 - Araraquara;Araraquara;35;84;119
21/05/2020;3503228;DRS 03 - Araraquara;Araraquara;44;60;104
22/05/2020;3503229;DRS 03 - Araraquara;Araraquara;50;56;106
23/05/2020;3503230;DRS 03 - Araraquara;Araraquara;51;65;116
24/05/2020;3503231;DRS 03 - Araraquara;Araraquara;49;107;156
25/05/2020;3503232;DRS 03 - Araraquara;Araraquara;45;107;152
26/05/2020;3503233;DRS 03 - Araraquara;Araraquara;42;77;119
27/05/2020;3503234;DRS 03 - Araraquara;Araraquara;51;72;123
28/05/2020;3503235;DRS 03 - Araraquara;Araraquara;50;89;139
29/05/2020;3503236;DRS 03 - Araraquara;Araraquara;47;63;110
30/05/2020;3503237;DRS 03 - Araraquara;Araraquara;55;73;128
31/05/2020;3503238;DRS 03 - Araraquara;Araraquara;53;86;139
01/06/2020;3503239;DRS 03 - Araraquara;Araraquara;46;61;107
02/06/2020;3503240;DRS 03 - Araraquara;Araraquara;53;78;131
03/06/2020;3503241;DRS 03 - Araraquara;Araraquara;70;81;151
04/06/2020;3503242;DRS 03 - Araraquara;Araraquara;86;75;161
05/06/2020;3503243;DRS 03 - Araraquara;Araraquara;96;84;180
06/06/2020;3503244;DRS 03 - Araraquara;Araraquara;112;86;198
07/06/2020;3503245;DRS 03 - Araraquara;Araraquara;138;55;193
08/06/2020;3503246;DRS 03 - Araraquara;Araraquara;133;100;233
09/06/2020;3503247;DRS 03 - Araraquara;Araraquara;148;74;222
10/06/2020;3503248;DRS 03 - Araraquara;Araraquara;159;91;250
11/06/2020;3503249;DRS 03 - Araraquara;Araraquara;156;148;304
12/06/2020;3503250;DRS 03 - Araraquara;Araraquara;164;91;255
13/06/2020;3503251;DRS 03 - Araraquara;Araraquara;171;97;268
14/06/2020;3503252;DRS 03 - Araraquara;Araraquara;173;78;251
15/06/2020;3503253;DRS 03 - Araraquara;Araraquara;147;115;262
16/06/2020;3503254;DRS 03 - Araraquara;Araraquara;172;87;259
17/06/2020;3503255;DRS 03 - Araraquara;Araraquara;173;100;273
18/06/2020;3503256;DRS 03 - Araraquara;Araraquara;186;120;306
19/06/2020;3503257;DRS 03 - Araraquara;Araraquara;178;120;298
20/06/2020;3503258;DRS 03 - Araraquara;Araraquara;175;124;299
21/06/2020;3503259;DRS 03 - Araraquara;Araraquara;184;123;307
22/06/2020;3503260;DRS 03 - Araraquara;Araraquara;161;180;341
23/06/2020;3503261;DRS 03 - Araraquara;Araraquara;154;120;274
24/06/2020;3503262;DRS 03 - Araraquara;Araraquara;146;120;266
25/06/2020;3503263;DRS 03 - Araraquara;Araraquara;152;120;272
26/06/2020;3503264;DRS 03 - Araraquara;Araraquara;184;120;304
27/06/2020;3503265;DRS 03 - Araraquara;Araraquara;198;203;401
28/06/2020;3503266;DRS 03 - Araraquara;Araraquara;197;203;400
29/06/2020;3503267;DRS 03 - Araraquara;Araraquara;175;246;421
30/06/2020;3503268;DRS 03 - Araraquara;Araraquara;165;268;433
01/07/2020;3503269;DRS 03 - Araraquara;Araraquara;182;276;458
02/07/2020;3503270;DRS 03 - Araraquara;Araraquara;201;156;357
03/07/2020;3503271;DRS 03 - Araraquara;Araraquara;194;142;336
04/07/2020;3503272;DRS 03 - Araraquara;Araraquara;183;160;343
05/07/2020;3503273;DRS 03 - Araraquara;Araraquara;187;80;267
06/07/2020;3503274;DRS 03 - Araraquara;Araraquara;159;96;255
07/07/2020;3503275;DRS 03 - Araraquara;Araraquara;149;122;271
08/07/2020;3503276;DRS 03 - Araraquara;Araraquara;153;128;281
09/07/2020;3503277;DRS 03 - Araraquara;Araraquara;164;140;304
10/07/2020;3503278;DRS 03 - Araraquara;Araraquara;160;140;300
11/07/2020;3503279;DRS 03 - Araraquara;Araraquara;158;170;328
12/07/2020;3503280;DRS 03 - Araraquara;Araraquara;173;160;333
13/07/2020;3503281;DRS 03 - Araraquara;Araraquara;148;184;332
14/07/2020;3503282;DRS 03 - Araraquara;Araraquara;150;172;322
15/07/2020;3503283;DRS 03 - Araraquara;Araraquara;161;222;383
16/07/2020;3503284;DRS 03 - Araraquara;Araraquara;158;222;380
17/07/2020;3503285;DRS 03 - Araraquara;Araraquara;151;198;349
18/07/2020;3503286;DRS 03 - Araraquara;Araraquara;182;280;462
19/07/2020;3503287;DRS 03 - Araraquara;Araraquara;185;330;515
20/07/2020;3503288;DRS 03 - Araraquara;Araraquara;180;270;450
21/07/2020;3503289;DRS 03 - Araraquara;Araraquara;176;398;574
22/07/2020;3503290;DRS 03 - Araraquara;Araraquara;192;398;590
23/07/2020;3503291;DRS 03 - Araraquara;Araraquara;200;341;541
24/07/2020;3503292;DRS 03 - Araraquara;Araraquara;248;346;594
25/07/2020;3503293;DRS 03 - Araraquara;Araraquara;263;235;498
26/07/2020;3503294;DRS 03 - Araraquara;Araraquara;238;232;470
27/07/2020;3503295;DRS 03 - Araraquara;Araraquara;214;232;446
28/07/2020;3503296;DRS 03 - Araraquara;Araraquara;199;256;455
