data;mun_id;drs_desc;mun_desc;obitos_novos
01/05/2020;3503208;DRS 03 - Araraquara;Araraquara;3
02/05/2020;3503208;DRS 03 - Araraquara;Araraquara;0
03/05/2020;3503208;DRS 03 - Araraquara;Araraquara;0
04/05/2020;3503208;DRS 03 - Araraquara;Araraquara;1
05/05/2020;3503208;DRS 03 - Araraquara;Araraquara;0
06/05/2020;3503208;DRS 03 - Araraquara;Araraquara;0
07/05/2020;3503208;DRS 03 - Araraquara;Araraquara;0
08/05/2020;3503208;DRS 03 - Araraquara;Araraquara;0
09/05/2020;3503208;DRS 03 - Araraquara;Araraquara;0
10/05/2020;3503208;DRS 03 - Araraquara;Araraquara;0
11/05/2020;3503208;DRS 03 - Araraquara;Araraquara;0
12/05/2020;3503208;DRS 03 - Araraquara;Araraquara;0
13/05/2020;3503208;DRS 03 - Araraquara;Araraquara;0
14/05/2020;3503208;DRS 03 - Araraquara;Araraquara;0
15/05/2020;3503208;DRS 03 - Araraquara;Araraquara;0
16/05/2020;3503208;DRS 03 - Araraquara;Araraquara;0
17/05/2020;3503208;DRS 03 - Araraquara;Araraquara;0
18/05/2020;3503208;DRS 03 - Araraquara;Araraquara;0
19/05/2020;3503208;DRS 03 - Araraquara;Araraquara;0
20/05/2020;3503208;DRS 03 - Araraquara;Araraquara;0
21/05/2020;3503208;DRS 03 - Araraquara;Araraquara;0
22/05/2020;3503208;DRS 03 - Araraquara;Araraquara;0
23/05/2020;3503208;DRS 03 - Araraquara;Araraquara;0
24/05/2020;3503208;DRS 03 - Araraquara;Araraquara;0
25/05/2020;3503208;DRS 03 - Araraquara;Araraquara;0
26/05/2020;3503208;DRS 03 - Araraquara;Araraquara;0
27/05/2020;3503208;DRS 03 - Araraquara;Araraquara;0
28/05/2020;3503208;DRS 03 - Araraquara;Araraquara;0
29/05/2020;3503208;DRS 03 - Araraquara;Araraquara;0
30/05/2020;3503208;DRS 03 - Araraquara;Araraquara;0
31/05/2020;3503208;DRS 03 - Araraquara;Araraquara;0
01/06/2020;3503208;DRS 03 - Araraquara;Araraquara;0
02/06/2020;3503208;DRS 03 - Araraquara;Araraquara;1
03/06/2020;3503208;DRS 03 - Araraquara;Araraquara;0
04/06/2020;3503208;DRS 03 - Araraquara;Araraquara;0
05/06/2020;3503208;DRS 03 - Araraquara;Araraquara;0
06/06/2020;3503208;DRS 03 - Araraquara;Araraquara;0
07/06/2020;3503208;DRS 03 - Araraquara;Araraquara;0
08/06/2020;3503208;DRS 03 - Araraquara;Araraquara;0
09/06/2020;3503208;DRS 03 - Araraquara;Araraquara;0
10/06/2020;3503208;DRS 03 - Araraquara;Araraquara;1
11/06/2020;3503208;DRS 03 - Araraquara;Araraquara;0
12/06/2020;3503208;DRS 03 - Araraquara;Araraquara;0
13/06/2020;3503208;DRS 03 - Araraquara;Araraquara;0
14/06/2020;3503208;DRS 03 - Araraquara;Araraquara;0
15/06/2020;3503208;DRS 03 - Araraquara;Araraquara;1
16/06/2020;3503208;DRS 03 - Araraquara;Araraquara;0
17/06/2020;3503208;DRS 03 - Araraquara;Araraquara;0
18/06/2020;3503208;DRS 03 - Araraquara;Araraquara;1
19/06/2020;3503208;DRS 03 - Araraquara;Araraquara;0
20/06/2020;3503208;DRS 03 - Araraquara;Araraquara;0
21/06/2020;3503208;DRS 03 - Araraquara;Araraquara;2
22/06/2020;3503208;DRS 03 - Araraquara;Araraquara;0
23/06/2020;3503208;DRS 03 - Araraquara;Araraquara;0
24/06/2020;3503208;DRS 03 - Araraquara;Araraquara;0
25/06/2020;3503208;DRS 03 - Araraquara;Araraquara;1
26/06/2020;3503208;DRS 03 - Araraquara;Araraquara;0
27/06/2020;3503208;DRS 03 - Araraquara;Araraquara;0
28/06/2020;3503208;DRS 03 - Araraquara;Araraquara;0
29/06/2020;3503208;DRS 03 - Araraquara;Araraquara;0
30/06/2020;3503208;DRS 03 - Araraquara;Araraquara;1
01/07/2020;3503208;DRS 03 - Araraquara;Araraquara;0
02/07/2020;3503208;DRS 03 - Araraquara;Araraquara;1
03/07/2020;3503208;DRS 03 - Araraquara;Araraquara;0
04/07/2020;3503208;DRS 03 - Araraquara;Araraquara;1
05/07/2020;3503208;DRS 03 - Araraquara;Araraquara;0
06/07/2020;3503208;DRS 03 - Araraquara;Araraquara;0
07/07/2020;3503208;DRS 03 - Araraquara;Araraquara;0
08/07/2020;3503208;DRS 03 - Araraquara;Araraquara;1
09/07/2020;3503208;DRS 03 - Araraquara;Araraquara;0
10/07/2020;3503208;DRS 03 - Araraquara;Araraquara;0
11/07/2020;3503208;DRS 03 - Araraquara;Araraquara;0
12/07/2020;3503208;DRS 03 - Araraquara;Araraquara;0
13/07/2020;3503208;DRS 03 - Araraquara;Araraquara;0
14/07/2020;3503208;DRS 03 - Araraquara;Araraquara;0
15/07/2020;3503208;DRS 03 - Araraquara;Araraquara;0
16/07/2020;3503208;DRS 03 - Araraquara;Araraquara;0
17/07/2020;3503208;DRS 03 - Araraquara;Araraquara;0
18/07/2020;3503208;DRS 03 - Araraquara;Araraquara;0
19/07/2020;3503208;DRS 03 - Araraquara;Araraquara;0
20/07/2020;3503208;DRS 03 - Araraquara;Araraquara;0
21/07/2020;3503208;DRS 03 - Araraquara;Araraquara;0
22/07/2020;3503208;DRS 03 - Araraquara;Araraquara;0
23/07/2020;3503208;DRS 03 - Araraquara;Araraquara;1
24/07/2020;3503208;DRS 03 - Araraquara;Araraquara;0
25/07/2020;3503208;DRS 03 - Araraquara;Araraquara;0
26/07/2020;3503208;DRS 03 - Araraquara;Araraquara;0
27/07/2020;3503208;DRS 03 - Araraquara;Araraquara;0
28/07/2020;3503208;DRS 03 - Araraquara;Araraquara;0
29/07/2020;3503208;DRS 03 - Araraquara;Araraquara;2
30/07/2020;3503208;DRS 03 - Araraquara;Araraquara;1
31/07/2020;3503208;DRS 03 - Araraquara;Araraquara;0
01/08/2020;3503208;DRS 03 - Araraquara;Araraquara;0
02/08/2020;3503208;DRS 03 - Araraquara;Araraquara;0
03/08/2020;3503208;DRS 03 - Araraquara;Araraquara;0
04/08/2020;3503208;DRS 03 - Araraquara;Araraquara;0
05/08/2020;3503208;DRS 03 - Araraquara;Araraquara;1
06/08/2020;3503208;DRS 03 - Araraquara;Araraquara;0
07/08/2020;3503208;DRS 03 - Araraquara;Araraquara;0
08/08/2020;3503208;DRS 03 - Araraquara;Araraquara;0
09/08/2020;3503208;DRS 03 - Araraquara;Araraquara;1
10/08/2020;3503208;DRS 03 - Araraquara;Araraquara;0
11/08/2020;3503208;DRS 03 - Araraquara;Araraquara;0
12/08/2020;3503208;DRS 03 - Araraquara;Araraquara;1
13/08/2020;3503208;DRS 03 - Araraquara;Araraquara;0
14/08/2020;3503208;DRS 03 - Araraquara;Araraquara;0
15/08/2020;3503208;DRS 03 - Araraquara;Araraquara;0
16/08/2020;3503208;DRS 03 - Araraquara;Araraquara;0
17/08/2020;3503208;DRS 03 - Araraquara;Araraquara;0
18/08/2020;3503208;DRS 03 - Araraquara;Araraquara;1
19/08/2020;3503208;DRS 03 - Araraquara;Araraquara;2
20/08/2020;3503208;DRS 03 - Araraquara;Araraquara;0
21/08/2020;3503208;DRS 03 - Araraquara;Araraquara;0
22/08/2020;3503208;DRS 03 - Araraquara;Araraquara;1
23/08/2020;3503208;DRS 03 - Araraquara;Araraquara;0
24/08/2020;3503208;DRS 03 - Araraquara;Araraquara;1
25/08/2020;3503208;DRS 03 - Araraquara;Araraquara;0
26/08/2020;3503208;DRS 03 - Araraquara;Araraquara;1
27/08/2020;3503208;DRS 03 - Araraquara;Araraquara;0
28/08/2020;3503208;DRS 03 - Araraquara;Araraquara;0
29/08/2020;3503208;DRS 03 - Araraquara;Araraquara;1
30/08/2020;3503208;DRS 03 - Araraquara;Araraquara;1
31/08/2020;3503208;DRS 03 - Araraquara;Araraquara;0
01/09/2020;3503208;DRS 03 - Araraquara;Araraquara;1
02/09/2020;3503208;DRS 03 - Araraquara;Araraquara;1
03/09/2020;3503208;DRS 03 - Araraquara;Araraquara;0
04/09/2020;3503208;DRS 03 - Araraquara;Araraquara;0
05/09/2020;3503208;DRS 03 - Araraquara;Araraquara;0
06/09/2020;3503208;DRS 03 - Araraquara;Araraquara;1
07/09/2020;3503208;DRS 03 - Araraquara;Araraquara;0
08/09/2020;3503208;DRS 03 - Araraquara;Araraquara;0
09/09/2020;3503208;DRS 03 - Araraquara;Araraquara;0
10/09/2020;3503208;DRS 03 - Araraquara;Araraquara;0
11/09/2020;3503208;DRS 03 - Araraquara;Araraquara;2
12/09/2020;3503208;DRS 03 - Araraquara;Araraquara;2
13/09/2020;3503208;DRS 03 - Araraquara;Araraquara;2
14/09/2020;3503208;DRS 03 - Araraquara;Araraquara;2
15/09/2020;3503208;DRS 03 - Araraquara;Araraquara;0
16/09/2020;3503208;DRS 03 - Araraquara;Araraquara;0
17/09/2020;3503208;DRS 03 - Araraquara;Araraquara;1
18/09/2020;3503208;DRS 03 - Araraquara;Araraquara;0
19/09/2020;3503208;DRS 03 - Araraquara;Araraquara;1
20/09/2020;3503208;DRS 03 - Araraquara;Araraquara;0
21/09/2020;3503208;DRS 03 - Araraquara;Araraquara;1
22/09/2020;3503208;DRS 03 - Araraquara;Araraquara;1
23/09/2020;3503208;DRS 03 - Araraquara;Araraquara;0
24/09/2020;3503208;DRS 03 - Araraquara;Araraquara;1
25/09/2020;3503208;DRS 03 - Araraquara;Araraquara;0
26/09/2020;3503208;DRS 03 - Araraquara;Araraquara;0
27/09/2020;3503208;DRS 03 - Araraquara;Araraquara;0
28/09/2020;3503208;DRS 03 - Araraquara;Araraquara;0
29/09/2020;3503208;DRS 03 - Araraquara;Araraquara;0
30/09/2020;3503208;DRS 03 - Araraquara;Araraquara;1
01/10/2020;3503208;DRS 03 - Araraquara;Araraquara;1
02/10/2020;3503208;DRS 03 - Araraquara;Araraquara;0
03/10/2020;3503208;DRS 03 - Araraquara;Araraquara;0
04/10/2020;3503208;DRS 03 - Araraquara;Araraquara;0
05/10/2020;3503208;DRS 03 - Araraquara;Araraquara;1
06/10/2020;3503208;DRS 03 - Araraquara;Araraquara;0
07/10/2020;3503208;DRS 03 - Araraquara;Araraquara;1
08/10/2020;3503208;DRS 03 - Araraquara;Araraquara;1
09/10/2020;3503208;DRS 03 - Araraquara;Araraquara;0
10/10/2020;3503208;DRS 03 - Araraquara;Araraquara;0
11/10/2020;3503208;DRS 03 - Araraquara;Araraquara;1
12/10/2020;3503208;DRS 03 - Araraquara;Araraquara;3
13/10/2020;3503208;DRS 03 - Araraquara;Araraquara;0
14/10/2020;3503208;DRS 03 - Araraquara;Araraquara;1
15/10/2020;3503208;DRS 03 - Araraquara;Araraquara;2
16/10/2020;3503208;DRS 03 - Araraquara;Araraquara;1
17/10/2020;3503208;DRS 03 - Araraquara;Araraquara;1
18/10/2020;3503208;DRS 03 - Araraquara;Araraquara;1
19/10/2020;3503208;DRS 03 - Araraquara;Araraquara;1
20/10/2020;3503208;DRS 03 - Araraquara;Araraquara;0
21/10/2020;3503208;DRS 03 - Araraquara;Araraquara;1
22/10/2020;3503208;DRS 03 - Araraquara;Araraquara;0
23/10/2020;3503208;DRS 03 - Araraquara;Araraquara;0
24/10/2020;3503208;DRS 03 - Araraquara;Araraquara;0
25/10/2020;3503208;DRS 03 - Araraquara;Araraquara;0
26/10/2020;3503208;DRS 03 - Araraquara;Araraquara;0
27/10/2020;3503208;DRS 03 - Araraquara;Araraquara;0
28/10/2020;3503208;DRS 03 - Araraquara;Araraquara;0
29/10/2020;3503208;DRS 03 - Araraquara;Araraquara;0
30/10/2020;3503208;DRS 03 - Araraquara;Araraquara;1
31/10/2020;3503208;DRS 03 - Araraquara;Araraquara;0
01/11/2020;3503208;DRS 03 - Araraquara;Araraquara;0
02/11/2020;3503208;DRS 03 - Araraquara;Araraquara;0
03/11/2020;3503208;DRS 03 - Araraquara;Araraquara;0
04/11/2020;3503208;DRS 03 - Araraquara;Araraquara;0
05/11/2020;3503208;DRS 03 - Araraquara;Araraquara;0
06/11/2020;3503208;DRS 03 - Araraquara;Araraquara;1
07/11/2020;3503208;DRS 03 - Araraquara;Araraquara;0
08/11/2020;3503208;DRS 03 - Araraquara;Araraquara;0
09/11/2020;3503208;DRS 03 - Araraquara;Araraquara;0
10/11/2020;3503208;DRS 03 - Araraquara;Araraquara;0
11/11/2020;3503208;DRS 03 - Araraquara;Araraquara;1
12/11/2020;3503208;DRS 03 - Araraquara;Araraquara;2
13/11/2020;3503208;DRS 03 - Araraquara;Araraquara;2
14/11/2020;3503208;DRS 03 - Araraquara;Araraquara;1
15/11/2020;3503208;DRS 03 - Araraquara;Araraquara;0
16/11/2020;3503208;DRS 03 - Araraquara;Araraquara;1
17/11/2020;3503208;DRS 03 - Araraquara;Araraquara;1
18/11/2020;3503208;DRS 03 - Araraquara;Araraquara;0
19/11/2020;3503208;DRS 03 - Araraquara;Araraquara;1
20/11/2020;3503208;DRS 03 - Araraquara;Araraquara;0
21/11/2020;3503208;DRS 03 - Araraquara;Araraquara;0
22/11/2020;3503208;DRS 03 - Araraquara;Araraquara;0
23/11/2020;3503208;DRS 03 - Araraquara;Araraquara;1
24/11/2020;3503208;DRS 03 - Araraquara;Araraquara;1
25/11/2020;3503208;DRS 03 - Araraquara;Araraquara;0
26/11/2020;3503208;DRS 03 - Araraquara;Araraquara;0
27/11/2020;3503208;DRS 03 - Araraquara;Araraquara;1
28/11/2020;3503208;DRS 03 - Araraquara;Araraquara;0
29/11/2020;3503208;DRS 03 - Araraquara;Araraquara;0
30/11/2020;3503208;DRS 03 - Araraquara;Araraquara;0
01/12/2020;3503208;DRS 03 - Araraquara;Araraquara;1
02/12/2020;3503208;DRS 03 - Araraquara;Araraquara;0
03/12/2020;3503208;DRS 03 - Araraquara;Araraquara;0
04/12/2020;3503208;DRS 03 - Araraquara;Araraquara;1
05/12/2020;3503208;DRS 03 - Araraquara;Araraquara;0
06/12/2020;3503208;DRS 03 - Araraquara;Araraquara;0
07/12/2020;3503208;DRS 03 - Araraquara;Araraquara;0
