mun_id;municipio_resid;data;Mean;0.05 quantile;Median;0.95 quantile
3503208;ARARAQUARA;19/04/2021;2,207888569;1,923616061;2,203111432;2,508456852
3503209;ARARAQUARA;20/04/2021;1,714616423;1,488072052;1,710703367;1,954509044
3503210;ARARAQUARA;21/04/2021;1,255924799;1,076343369;1,252550275;1,447017504
3503211;ARARAQUARA;22/04/2021;1,161204275;0,994516106;1,1580589;1,338622042
3503212;ARARAQUARA;23/04/2021;1,271800699;1,099717727;1,268752121;1,454283024
3503213;ARARAQUARA;24/04/2021;1,37930557;1,203369557;1,376378216;1,565227372
3503214;ARARAQUARA;25/04/2021;1,188700942;1,03059051;1,185950455;1,356193863
3503215;ARARAQUARA;26/04/2021;1,101435325;0,952920134;1,098813972;1,258892506
3503216;ARARAQUARA;27/04/2021;1,046373337;0,903289321;1,043809817;1,198202077
3503217;ARARAQUARA;28/04/2021;1,17206514;1,021158114;1,169529181;1,331622833
3503218;ARARAQUARA;29/04/2021;1,139524042;0,992342618;1,137042382;1,295170908
3503219;ARARAQUARA;30/04/2021;0,918816076;0,788945506;0,916405614;1,056909278
3503220;ARARAQUARA;01/05/2021;0,78922823;0,669136926;0,786816005;0,917548237
3503221;ARARAQUARA;02/05/2021;0,810131901;0,686311319;0,807632871;0,942477304
3503222;ARARAQUARA;03/05/2021;0,869031059;0,737950174;0,866422754;1,009009514
3503223;ARARAQUARA;04/05/2021;0,865107777;0,732290967;0,862414234;1,007112938
3503224;ARARAQUARA;05/05/2021;1,021941912;0,875244531;1,01917376;1,178082098
3503225;ARARAQUARA;06/05/2021;1,165745175;1,008012211;1,162950818;1,33301029
3503226;ARARAQUARA;07/05/2021;1,280324934;1,116507395;1,277590239;1,453471067
3503227;ARARAQUARA;08/05/2021;1,239860175;1,082197303;1,23724542;1,406442498
3503228;ARARAQUARA;10/05/2021;1,526055441;1,354665109;1,523562612;1,705949245
3503229;ARARAQUARA;11/05/2021;1,685867852;1,512010065;1,683555841;1,867612278
3503230;ARARAQUARA;12/05/2021;1,671782868;1,508026383;1,669719392;1,842578183
3503231;ARARAQUARA;13/05/2021;1,582015329;1,431866008;1,58018467;1,7384093
3503232;ARARAQUARA;14/05/2021;1,567862126;1,426101143;1,566218971;1,715228144
3503233;ARARAQUARA;15/05/2021;1,408498514;1,280752579;1,407013035;1,541311629
3503234;ARARAQUARA;16/05/2021;1,246281393;1,131085068;1,244915123;1,366138263
3503235;ARARAQUARA;17/05/2021;1,199624261;1,089622546;1,198330417;1,314039467
3503236;ARARAQUARA;18/05/2021;1,053389754;0,952377511;1,052144874;1,158648467
3503237;ARARAQUARA;19/05/2021;0,981580575;0,885081564;0,980359974;1,082243243
3503238;ARARAQUARA;20/05/2021;0,974734311;0,878556894;0,973513112;1,075077426
3503239;ARARAQUARA;21/05/2021;0,998973506;0,901297522;0,997745025;1,100840024
3503240;ARARAQUARA;22/05/2021;0,950121703;0,8547828;0,948889664;1,049663285
3503241;ARARAQUARA;23/05/2021;0,948811582;0,853240105;0,947571594;1,048612851
3503242;ARARAQUARA;24/05/2021;1,04977776;0,948583986;1,048523812;1,15524894
3503243;ARARAQUARA;25/05/2021;1,07097281;0,968804639;1,069720471;1,177412896
3503244;ARARAQUARA;26/05/2021;1,183696963;1,076835385;1,18246031;1,29477694
3503245;ARARAQUARA;27/05/2021;1,246888055;1,138561265;1,24568354;1,359323615
