t_start;t_end;Mean(R);Std(R);Quantile.0.025(R);Quantile.0.05(R);Quantile.0.25(R);Median(R);Quantile.0.75(R);Quantile.0.95(R);Quantile.0.975(R)
1;7;1,498201796;0,143501706;1,23017957;1,270230974;1,399077484;1,493622639;1,592335328;1,741793267;1,792243971
2;8;0,227605218;0,052216218;0,137033209;0,149044907;0,19055687;0,223624838;0,260319916;0,319746642;0,340782036
3;9;0,275541727;0,055108345;0,178316078;0,191580039;0,236646719;0,271876674;0,310445176;0,37200782;0,393584879
4;10;0,26992383;0,055097971;0,172945291;0,186124163;0,231006588;0,266184286;0,304768551;0,366482158;0,388142515
5;11;0,293855421;0,061273091;0,186279129;0,200837373;0,250541834;0,289607794;0,332543364;0,401365751;0,425557132
6;12;0,401769303;0,078793443;0,262449048;0,281525107;0,346197682;0,39663032;0,451743919;0,539546507;0,570279564
7;13;0,5364394;0,101377518;0,356460086;0,381267384;0,465035533;0,530066909;0,600902358;0,713352556;0,752616479
8;14;0,752779134;0,133073808;0,51490037;0,548057381;0,65926996;0,744952372;0,837762492;0,984202974;1,035118958
9;15;0,832673247;0,15202464;0,561801143;0,599357626;0,725727701;0,82343982;0,929561178;1,097490324;1,155995756
10;16;0,957114668;0,171902869;0,650312981;0,692966821;0,836254509;0,946843018;1,066786027;1,256305861;1,322265196
11;17;0,913875583;0,172706252;0,607263688;0,649525282;0,792232297;0,903019438;1,023694368;1,215263985;1,282153815
12;18;0,937002453;0,177076819;0,622631325;0,665962406;0,812280818;0,925871578;1,049600352;1,2460179;1,314600468
13;19;0,917440996;0,176561602;0,604599397;0,647581131;0,793000757;0,90613976;1,029572334;1,22585775;1,294476084
14;20;1,070874157;0,192334676;0,727607034;0,775330569;0,935648958;1,059381652;1,193580691;1,405626226;1,47942527
15;21;1,336419442;0,216795861;0,945729937;1,000904602;1,18451756;1,324714922;1,475569894;1,711864862;1,793602419
16;22;1,662152599;0,242449875;1,22128721;1,284450838;1,492841836;1,650379262;1,818635411;2,080018667;2,169906753
17;23;1,475618451;0,225029704;1,06791239;1,125987442;1,318257796;1,464195447;1,620533459;1,864219018;1,948221251
18;24;1,400001098;0,211058107;1,017242941;1,071847753;1,252463359;1,389409432;1,535998808;1,764287792;1,842933375
19;25;1,281372464;0,193174167;0,931047194;0,981025085;1,146336287;1,271678279;1,405846453;1,614791445;1,68677302
20;26;1,29840373;0,187408436;0,957340413;1,006270127;1,167571751;1,289398254;1,41942345;1,621259111;1,690630839
21;27;1,433048023;0,191499097;1,082509076;1,133264386;1,299661017;1,424527061;1,557150033;1,761900095;1,831999892
22;28;1,268626232;0,175926805;0,947470749;0,993770634;1,145955162;1,260503345;1,382446364;1,571192465;1,635932106
23;29;1,131085596;0,161583657;0,836783351;0,879058869;1,018316989;1,123400511;1,235480543;1,40932959;1,469050191
24;30;1,20321711;0,162241762;0,906427792;0,949356104;1,090180025;1,195932794;1,30831679;1,481927892;1,541393013
25;31;1,201602673;0,159156162;0,91008213;0,952334534;1,090771624;1,194583109;1,30478469;1,474817333;1,533005913
