t_start;t_end;Mean(R);Std(R);Quantile.0.025(R);Quantile.0.05(R);Quantile.0.25(R);Median(R);Quantile.0.75(R);Quantile.0.95(R);Quantile.0.975(R)
1;7;1,50316892;0,132862617;1,254057822;1,291506444;1,411549509;1,499256235;1,590523796;1,728178446;1,774513282
2;8;0,374100417;0,063234512;0,260574648;0,276509793;0,329733871;0,370543651;0,414592272;0,483825274;0,507831612
3;9;0,379145422;0,065022903;0,262569226;0,278896212;0,333501883;0,375434858;0,420746806;0,492053615;0,516800515
4;10;0,517620341;0,081842962;0,36979556;0,39074822;0,46032306;0,513313287;0,570225176;0,6591861;0,689913944
5;11;0,759434806;0,105314659;0,567182238;0,594898631;0,686000505;0,754572221;0,82757069;0,940559335;0,979314278
6;12;0,801118229;0,11217899;0,596485141;0,625951995;0,72287529;0,79588829;0,873662522;0,994126053;1,035465208
7;13;0,902174089;0,121649129;0,67964099;0,711828706;0,817418704;0,896712298;0,980977995;1,111151874;1,155738915
8;14;1,149048895;0,139342646;0,892281428;0,929851241;1,052248792;1,143421237;1,239716273;1,387444442;1,437791898
9;15;1,30653479;0,147935934;1,032761534;1,073089875;1,203946121;1,30095557;1,403043246;1,559012175;1,612009131
10;16;1,438634172;0,151645357;1,156831763;1,198612229;1,33365609;1,433309419;1,537809123;1,696820353;1,75069244
11;17;1,414473793;0,145121949;1,144393766;1,18452883;1,314075119;1,409513834;1,509466828;1,661338528;1,712737088
12;18;1,254980846;0,131557739;1,010432292;1,04670677;1,163920499;1,250386852;1,341034458;1,478926327;1,525633046
13;19;1,304089732;0,130408973;1,061059455;1,097251675;1,213922801;1,299745352;1,389521857;1,525747617;1,571805632
14;20;1,30281728;0,127141948;1,065575461;1,100975176;1,214957329;1,298683695;1,386172113;1,5187601;1,563547087
15;21;1,139030654;0,115651041;0,923677129;0,955707485;1,059039828;1,135118859;1,214758166;1,335698007;1,376611675
16;22;0,996911143;0,106271085;0,799551888;0,828783989;0,923324236;0,993137518;1,066385426;1,17791122;1,215712505
17;23;1,114341667;0,111995551;0,90568192;0,936742868;1,036897245;1,110591929;1,187699376;1,304731819;1,344308135
18;24;0,969667826;0,103959303;0,776664178;0,805236745;0,897671862;0,965955165;1,037617619;1,146763872;1,183767142
19;25;1,009681484;0,105843379;0,812932548;0,842116792;0,936419851;1,005985435;1,078915001;1,189854437;1,227431831
20;26;1,00328866;0,105755911;0,806762561;0,835899828;0,930078027;0,999575232;1,07245225;1,183345045;1,220914883
21;27;0,891962125;0,099724397;0,707270492;0,734508827;0,822828361;0,888248382;0,957048636;1,062084147;1,097755305
22;28;1,052095354;0,109097206;0,849176736;0,879304187;0,976600758;1,048326815;1,12348281;1,237742052;1,276427345
23;29;1,046337526;0,109088228;0,843495725;0,873597871;0,970839598;1,042548899;1,117706432;1,232001243;1,270706808
24;30;0,833665509;0,096911647;0,654606733;0,680916792;0,766415739;0,829913281;0,896826183;0,999214298;1,034044226
25;31;0,929292381;0,103254709;0,73799229;0,766221451;0,857722225;0,925470943;0,996697902;1,105399403;1,142305985
26;32;0,882968951;0,101956472;0,694511092;0,722220188;0,812230533;0,87904776;0,949434123;1,057094161;1,093706838
27;33;0,913026692;0,104731344;0,719361187;0,74785407;0,840375239;0,909025326;0,981317507;1,091849251;1,129427827
28;34;1,056295425;0,113903265;0,844899995;0,876179262;0,977401915;1,05220409;1,130730088;1,25036833;1,290938143
29;35;0,885795203;0,104391966;0,693080192;0,721358896;0,813329128;0,881697691;0,953795939;1,064209483;1,101791923
30;36;0,856973796;0,103167522;0,666776766;0,694626733;0,785318004;0,852837401;0,924121941;1,033431526;1,070673293
31;37;0,934288035;0,109350143;0,732332678;0,761987383;0,85839361;0,93002536;1,005537111;1,121130074;1,160463606
32;38;0,902251041;0,108618261;0,702005165;0,731326554;0,826809396;0,897896104;0,972946882;1,088031716;1,12724111
33;39;0,931914733;0,111385115;0,726473253;0,756577218;0,854565918;0,92748082;1,004431656;1,12237783;1,162549199
34;40;0,949076491;0,113436338;0,739851686;0,770510033;0,870303253;0,944560926;1,022928856;1,143047079;1,183958227
35;41;0,851675385;0,108162882;0,652974634;0,681907851;0,776442275;0,847100887;0,921923618;1,037048233;1,076367296
36;42;0,998636299;0,118516324;0,779943234;0,812011699;0,916350577;0,993951799;1,075817024;1,201241302;1,243946225
37;43;0,913920791;0,114240099;0,703830372;0,734473897;0,834494928;0,90916522;0,988164397;1,109590667;1,151031361
38;44;0,866061806;0,111808098;0,660896397;0,690717757;0,788258163;0,861255133;0,938627635;1,057803253;1,098537353
39;45;0,888917955;0,114758815;0,678338046;0,708946419;0,809061004;0,883984429;0,963398861;1,085719631;1,12752874
40;46;0,913000146;0,117867812;0,696715295;0,728152896;0,830979744;0,907932963;0,989498857;1,11513349;1,158075274
41;47;0,901538582;0,118377815;0,684576043;0,716052949;0,819124375;0,896362653;0,978312676;1,104681339;1,147909047
42;48;1,126727368;0,133717937;0,879983423;0,91616518;1,033887187;1,121442006;1,213807756;1,355319703;1,403502215
43;49;0,868688209;0,117133894;0,654414843;0,685407851;0,787078679;0,863429142;0,944567161;1,069909392;1,112841502
44;50;0,937194102;0,12201228;0,713435573;0,745929364;0,852269882;0,931904571;1,016354379;1,146503475;1,191006117
45;51;1,040455432;0,130056929;0,801277464;0,836163662;0,950032857;1,035041439;1,124978252;1,263216296;1,310394559
46;52;1,091065729;0,133294894;0,845560954;0,881455584;0,998448784;1,085642369;1,177772613;1,31917686;1,367385167
47;53;1,029395726;0,128674466;0,792760143;0,827275512;0,939934314;1,024039282;1,113020096;1,249788714;1,296465487
48;54;0,972919922;0,124569631;0,744206649;0,777480776;0,88625571;0,967608615;1,053796385;1,186477937;1,231810618
49;55;0,784716157;0,112102308;0,580537333;0,609866928;0,706480391;0,779384456;0,857142508;0,977754207;1,019186722
50;56;0,908597287;0,122515233;0,684479822;0,716896705;0,82323847;0,90309661;0,987962253;1,119062929;1,163967416
51;57;0,973335885;0,128921487;0,737195094;0,771420868;0,883559256;0,967649818;1,056916558;1,194648336;1,241782913
52;58;0,88101508;0,123366787;0,655973595;0,688379228;0,794968844;0,875263551;0,960794337;1,093271896;1,138733873
53;59;0,791719592;0,118022589;0,577485703;0,608093696;0,709245854;0,785862788;0,86781204;0,995325857;1,039227786
54;60;0,859233359;0,125332067;0,631332354;0,663984167;0,771709834;0,853147249;0,940125603;1,075245093;1,121711851
55;61;0,911206279;0,131521298;0,671851578;0,706189945;0,819389752;0,904886329;0,996136664;1,137782839;1,186467199
56;62;0,991674398;0,138862191;0,738366726;0,774842646;0,894820381;0,985200452;1,081474275;1,230591591;1,28176379
57;63;0,962707196;0,137529599;0,712216083;0,748198281;0,866725822;0,956166146;1,051561449;1,199530559;1,250360887
58;64;1,088294235;0,146745565;0,819852155;0,858680255;0,986053661;1,081705666;1,18335553;1,340384514;1,394169943
59;65;1,123111583;0,148759763;0,850633745;0,890126138;1,01952024;1,116550551;1,219553544;1,378479315;1,432866901
60;66;1,197984505;0,152144184;0,918487851;0,959185922;1,09216003;1,191549921;1,296797147;1,458733852;1,514040872
61;67;1,144280846;0,146510149;0,875284178;0,914418895;1,042352418;1,138034056;1,239402126;1,395452952;1,448770104
62;68;1,111202337;0,14227488;0,84998174;0,887985162;1,012220424;1,105136127;1,20357388;1,355113639;1,406889515
63;69;1,035300609;0,13594163;0,786147158;0,822294318;0,940658537;1,029356723;1,123465738;1,268583824;1,318225264
64;70;1,13170826;0,141463533;0,871553262;0,909499143;1,033355201;1,125819435;1,22364413;1,374006299;1,425322317
65;71;0,906257869;0,125675354;0,676836724;0,709911584;0,818626367;0,900455191;0,987566601;1,122399568;1,168647082
66;72;0,891334698;0,124811823;0,663657228;0,696442438;0,804280574;0,885515799;0,972048435;1,106077747;1,152072235
67;73;0,824882978;0,12162236;0,603918013;0,635532627;0,739922316;0,818913327;0,90333932;1,034598623;1,079763578
68;74;0,796704776;0,121496339;0,576579196;0,60793464;0,711743799;0,790537353;0,874946193;1,00651506;1,051868912
69;75;0,753970373;0,120731884;0,53614664;0,566965852;0,669413031;0,747536065;0,831517777;0,962925793;1,008347776
70;76;0,772168545;0,125262279;0,546432419;0,578311738;0,684401297;0,765405801;0,852568155;0,989096804;1,036323871
71;77;0,706082092;0,122913115;0,486034423;0,516781247;0,619758194;0,698962899;0,784650764;0,919670935;0,966571867
72;78;0,83865001;0,137873212;0,590487003;0,62546553;0,74200456;0,831106825;0,927077716;1,077568554;1,129665519
73;79;0,903817936;0,14661863;0,639595364;0,676909886;0,801086981;0,895902192;0,997925123;1,157730962;1,213009917
74;80;1,050176488;0,160150413;0,760017932;0,801349113;0,938185167;1,0420469;1,153310421;1,326737938;1,386521122
75;81;1,275735884;0,176912736;0,952780578;0,999339937;1,152377339;1,267567475;1,390193888;1,579997763;1,645100219
76;82;1,209489572;0,169362416;0,900544429;0,945032061;1,091362166;1,201593662;1,319013439;1,500883454;1,563295311
77;83;1,203874622;0,165364897;0,901784704;0,94538527;1,088600144;1,196311608;1,310908145;1,488164597;1,548934203
78;84;1,096883828;0,155122799;0,814128319;0,854795701;0,988656711;1,089579999;1,197152623;1,363888533;1,421135819
79;85;1,007598875;0,146973401;0,740345754;0,77863562;0,90496249;1,000461864;1,102458942;1,260909781;1,315400045
80;86;0,875718696;0,136764283;0,628430856;0,663541567;0,780009314;0,868609414;0,963682549;1,112149269;1,163395427
81;87;0,761587162;0,128731726;0,530473363;0,562913856;0,671266515;0,75434636;0,844019781;0,984963129;1,033834817
82;88;0,659266508;0,122422717;0,441521127;0,471625102;0,573093656;0,651704412;0,737202488;0,872707485;0,919967672
83;89;0,680236989;0,128552708;0,452012539;0,483469665;0,589692648;0,672156293;0,761979845;0,904573368;0,954362352
84;90;0,914907604;0,154647611;0,637266669;0,676237985;0,806403875;0,906209106;1,013935311;1,183252951;1,24196334
85;91;1,170825151;0,178549162;0,847331967;0,893411448;1,045967799;1,161761602;1,285807541;1,479159136;1,545810463
86;92;1,183620327;0,178437478;0,860020342;0,906185566;1,058885663;1,174665683;1,298598561;1,491603754;1,558094067
87;93;1,119351546;0,170699511;0,810080264;0,854133928;0,999983364;1,110686462;1,229278905;1,414130081;1,47785118
88;94;1,042288109;0,162778055;0,747963942;0,789753021;0,928373959;1,033826579;1,146983462;1,32368986;1,384683489
89;95;1,057639537;0,163197324;0,76225355;0,804262614;0,943475454;1,049257519;1,162671324;1,339611781;1,400645375
90;96;1,127149243;0,168025489;0,822150393;0,865726143;1,009733667;1,118811074;1,235479953;1,41701784;1,479519799
91;97;0,9371003;0,152017742;0,663147945;0,701836544;0,83058636;0,928893064;1,034672908;1,200363467;1,257678025
92;98;0,789885431;0,139633336;0,54028105;0,57507245;0,691766964;0,781672869;0,879057823;1,032716709;1,086142464
93;99;0,793480846;0,142513367;0,539131738;0,574493232;0,693283634;0,784965296;0,884402159;1,041520593;1,096203142
94;100;0,859245773;0,151894628;0,587723472;0,625569927;0,752511461;0,85031206;0,956248449;1,12340022;1,181517325
95;101;0,92045654;0,160230917;0,633599929;0,673681834;0,807923737;0,91117588;1,022879542;1,198893352;1,260033935
96;102;0,800299129;0,151242319;0,531792959;0,568802283;0,693773671;0,790792186;0,896469636;1,064230982;1,122807744
97;103;0,857614063;0,159254933;0,574357597;0,613518684;0,745515165;0,847776827;0,958997937;1,135271098;1,196750031
98;104;0,799724441;0,156838867;0,522406556;0,560377577;0,689108765;0,789495261;0,899199244;1,073970873;1,135145226
99;105;0,864097693;0,166295678;0,569445824;0,609928446;0,746892855;0,853453551;0,969709313;1,154581993;1,219210611
100;106;0,8645839;0,169558853;0,564774908;0,605825465;0,744997043;0,853525111;0,972126334;1,161072337;1,227208069
101;107;1,063841748;0,191071619;0,722828854;0,770238989;0,92950457;1,052424715;1,185742472;1,396395508;1,469709915
102;108;1,107422191;0,195766435;0,757475959;0,806253626;0,969859751;1,09590815;1,232442203;1,44787251;1,52277561
103;109;1,091395311;0,192933256;0,746513585;0,794585329;0,955823708;1,080047904;1,214606003;1,42691855;1,500737635
104;110;1,042541721;0,187246021;0,708356519;0,754817417;0,910894215;1,031353277;1,162001772;1,368437155;1,440283676
105;111;1,035616649;0,186002241;0,703651268;0,749803551;0,90484361;1,024502524;1,154283188;1,359347326;1,430716607
106;112;0,867021357;0,170036878;0,566367136;0,607533423;0,747097357;0,85593139;0,974866977;1,164345662;1,230667844
107;113;0,917071836;0,176490557;0,604356118;0,647320557;0,792681669;0,905775147;1,029158054;1,225364489;1,293955212
108;114;0,768295328;0,163801114;0,481486592;0,520126806;0,652407248;0,756686368;0,871541917;1,056072332;1,121038248
109;115;0,726569714;0,162465927;0,443807657;0,481521421;0,611413772;0,714496757;0,82858035;1,012810559;1,07789718
110;116;0,732904118;0,168139736;0,441256155;0,479934631;0,613605946;0,720087027;0,838247647;1,029605704;1,097341086
111;117;0,820823601;0,183541737;0,50138038;0,543986542;0,690729112;0,807184485;0,936067514;1,144196893;1,217726843
112;118;0,820002393;0,188121451;0,493695007;0,53697003;0,686526834;0,80566212;0,93786494;1,151963975;1,227749025
113;119;0,855159563;0,196187059;0,51486192;0,559992337;0,71596131;0,840204459;0,978075405;1,201353823;1,280388118
114;120;0,748808112;0,187202028;0,428008536;0,469687863;0,615522764;0,733267047;0,865177155;1,080957383;1,157854787
115;121;0,835554376;0,202651703;0,486741215;0,532402487;0,69144778;0,819229299;0,961889681;1,194409434;1,277071021
116;122;0,774687793;0,200023528;0,433586877;0,477534624;0,632083462;0,757542184;0,898631191;1,130346232;1,213141517
117;123;0,920816854;0,223330891;0,53640975;0,586730435;0,762005187;0,902825917;1,060043793;1,316290559;1,407387182
118;124;0,786977312;0,210328534;0,43024782;0,475780486;0,636809553;0,768321149;0,916842456;1,161835353;1,249629802
119;125;0,701321102;0,202453963;0,362382847;0,404674696;0,556301121;0,681939108;0,825254769;1,064109496;1,150285744
120;126;1,060083687;0,25710806;0,617537813;0,675469135;0,877252914;1,039371752;1,220367685;1,515369906;1,620244229
121;127;1,731618104;0,333250059;1,141147241;1,222272838;1,496744176;1,710287659;1,943259675;2,313737321;2,443250555
122;128;1,594935609;0,306945501;1,051072616;1,125794694;1,378601077;1,575288848;1,789871593;2,131106181;2,250396495
123;129;1,424441276;0,274133851;0,938715777;1,005450265;1,231232325;1,406894702;1,598539127;1,903296654;2,009835154
124;130;1,219029563;0,243805913;0,788891659;0,847573011;1,046953393;1,202814928;1,373446596;1,645807097;1,741266587
125;131;1,163765279;0,232753056;0,753127528;0,809148581;0,999490123;1,148285729;1,311181869;1,571195001;1,662326868
126;132;1,27007373;0,240021374;0,84395477;0,90268852;1,101017959;1,254986223;1,422696205;1,688933254;1,781894503
127;133;1,225365932;0,231572394;0,814246763;0,870913029;1,062261084;1,210809519;1,372615951;1,629481204;1,719170129
128;134;0,882993678;0,192685018;0,546587004;0,5916909;0,746548239;0,869018146;1,004221365;1,221979948;1,298773448
129;135;0,76013587;0,179165743;0,450504692;0,49131401;0,632877281;0,746106567;0,872121104;1,076826636;1,149437211
130;136;1,108689446;0,221737889;0,717485353;0,770855179;0,952188703;1,093942474;1,249129465;1,496837332;1,583656333
131;137;1,485532189;0,258597961;1,022572005;1,087260512;1,303914596;1,470554058;1,650833493;1,934903593;2,033578869
132;138;1,567276646;0,257658693;1,103507396;1,168875581;1,386664763;1,553179874;1,732531134;2,013769759;2,111129033
133;139;1,425806452;0,234401137;1,003899324;1,063367051;1,261497497;1,412982125;1,576144247;1,831996874;1,920568015
134;140;1,172046281;0,204027069;0,80678273;0,857820281;1,028754721;1,160228925;1,302464713;1,526588637;1,604440865
135;141;1,224708195;0,204118032;0,857770563;0,909385518;1,081562209;1,21338716;1,355520969;1,578653462;1,655959499
