t_start;t_end;Mean(R);Std(R);Quantile.0.025(R);Quantile.0.05(R);Quantile.0.25(R);Median(R);Quantile.0.75(R);Quantile.0.95(R);Quantile.0.975(R)
1;7;1,487590234;0,081765354;1,331631336;1,355701272;1,431654295;1,486092426;1,541893489;1,624588431;1,652060728
2;8;0,224544017;0,029741582;0,170067446;0,177963171;0,20383297;0,223232268;0,243825685;0,27559976;0,286473485
3;9;0,214504498;0,027926107;0,163290762;0,170727924;0,195067087;0,213293833;0,232622661;0,262411118;0,27259686
4;10;0,211707772;0,028041379;0,160345399;0,167789759;0,19218069;0,21047101;0,229887188;0,259844871;0,270096991
5;11;0,301158344;0,03574092;0,235207165;0,244878039;0,276343473;0,299745642;0,324433704;0,362257853;0,37513636
6;12;0,504058401;0,051179376;0,408757407;0,42293189;0,468659839;0,502327304;0,537570308;0,591090152;0,609195791
7;13;0,723399378;0,06866203;0,59509914;0,614284946;0,675980233;0,721228171;0,768452136;0,839920332;0,864036996
8;14;0,816625894;0,08046454;0,666556523;0,688931722;0,761009893;0,813984618;0,869363231;0,953330144;0,981703573
9;15;1,096520091;0,099274265;0,910593662;0,938495492;1,028028564;1,093525594;1,161747869;1,264759614;1,299462231
10;16;1,248999492;0,109125592;1,044285805;1,075085399;1,173766408;1,245822818;1,320770224;1,433749926;1,47176421
11;17;1,508152063;0,120363638;1,281469568;1,315781157;1,425317679;1,504951253;1,587497682;1,71144157;1,753023029
12;18;1,41280033;0,114593239;1,197130546;1,229741393;1,333913022;1,409703294;1,488312;1,606423885;1,646068845
13;19;1,549927226;0,116171957;1,330590433;1,363918178;1,470069183;1,547025709;1,626622666;1,745833889;1,785751928
14;20;1,514965676;0,110490228;1,30613931;1,337920655;1,439049782;1,512280415;1,587954661;1,701170608;1,739051131
15;21;1,611418471;0,109390214;1,404135319;1,435807135;1,536349044;1,608943851;1,683790541;1,795471153;1,832763864
16;22;1,568553153;0,103427332;1,372373936;1,402394779;1,497609005;1,566280474;1,637020047;1,742464008;1,777647106
17;23;1,632707843;0,100869027;1,440975096;1,470410664;1,56358807;1,630631077;1,699563882;1,802089192;1,83624211
18;24;1,635292241;0,096360519;1,451863272;1,4800864;1,56930775;1,633399932;1,699214044;1,79695303;1,829474576
19;25;1,522068011;0,088618226;1,353316795;1,379295672;1,461395605;1,520348506;1,580866089;1,670705834;1,700590612
20;26;1,28671651;0,077591925;1,139118155;1,161804037;1,233566302;1,28515719;1,338167008;1,416948059;1,443175944
21;27;1,321902644;0,075200414;1,178605342;1,200688392;1,270433531;1,320476917;1,371817652;1,447980256;1,473301902
22;28;1,410664658;0,075082104;1,267327251;1,289478873;1,359322741;1,40933281;1,460554789;1,536393562;1,56157058
23;29;1,475878203;0,074733998;1,333018846;1,355140441;1,424806973;1,47461696;1,525574601;1,60091823;1,625904864
24;30;1,387137516;0,070330664;1,252699856;1,273516325;1,339074634;1,385949062;1,433904911;1,504812682;1,528328844
25;31;1,219330388;0,063648528;1,097757601;1,116560467;1,17581787;1,218223092;1,26163589;1,325877446;1,347195633
26;32;1,248242274;0,062179377;1,129332619;1,147757236;1,205759205;1,247209968;1,289600064;1,352248645;1,373018258
27;33;1,179202261;0,058813263;1,066733352;1,084159174;1,139018418;1,178224625;1,218320419;1,27758019;1,297226816
28;34;1,124950484;0,056247524;1,017394802;1,034057786;1,086518482;1,124013164;1,162360748;1,219040501;1,237832707
29;35;1,306041247;0,059550355;1,191917361;1,209657411;1,265397081;1,305136271;1,345698923;1,405512068;1,425307901
30;36;1,270993965;0,057892189;1,160045197;1,177292309;1,231481994;1,270115101;1,30954791;1,367693535;1,386937116
31;37;1,285614474;0,057152535;1,176023107;1,193073373;1,246617981;1,28476766;1,323687875;1,381044162;1,400018095
32;38;1,287037373;0,055852665;1,17988164;1,196566376;1,248937917;1,28622953;1,324256218;1,38026402;1,398783901
33;39;1,325819186;0,055290482;1,219652008;1,236204042;1,288119244;1,325050674;1,362681386;1,418055812;1,436353656
34;40;1,326423607;0,053926788;1,222820692;1,238985741;1,289663188;1,325692866;1,362387457;1,416354112;1,434179172
35;41;1,464175826;0,055183203;1,358001895;1,374605217;1,426587105;1,46348262;1,501008889;1,556111042;1,574289124
36;42;1,297224505;0,050494395;1,200131879;1,215300945;1,262818875;1,2965694;1,330916014;1,381382703;1,398039968
37;43;1,224668778;0,047490618;1,133345248;1,147614568;1,192311044;1,224054963;1,256357399;1,303816777;1,319480497
