t_start;t_end;Mean(R);Std(R);Quantile.0.025(R);Quantile.0.05(R);Quantile.0.25(R);Median(R);Quantile.0.75(R);Quantile.0.95(R);Quantile.0.975(R)
1;7;1,26771779;0,174134431;0,949607617;0,995520384;1,146330143;1,259753698;1,380427451;1,567084063;1,631076367
2;8;0,021823616;0,021823616;0,000552526;0,001119405;0,006278263;0,015126978;0,030253955;0,06537771;0,080504687
3;9;0,021046504;0,021046504;0,000532851;0,001079545;0,006054702;0,014588325;0,02917665;0,063049692;0,077638017
4;10;0,023298943;0,023298943;0,000589878;0,00119508;0,006702688;0,016149597;0,032299193;0,069797395;0,085946992
5;11;0,029656514;0,029656514;0,000750838;0,00152118;0,008531647;0,020556329;0,041112657;0,088842975;0,109399303
6;12;0,041495777;0,041495777;0,001050582;0,002128455;0,011937591;0,028762681;0,057525361;0,124310238;0,153072918
7;13;0,061889495;0,061889495;0,001566906;0,003174516;0,017804498;0,042898529;0,085797058;0,185404358;0,228302887
8;14;0,096464311;0,096464311;0,002442265;0,004947972;0,027751053;0,066863965;0,133727931;0,288981251;0,355845217
9;15;0,154946941;0,154946941;0,003922917;0,007947739;0,044575457;0,107401035;0,214802071;0,464179553;0,571580588
10;16;0,253537599;0,253537599;0,006419016;0,013004779;0,072938222;0,175738872;0,351477744;0,759530768;0,93526964
11;17;0,417717325;0,417717325;0,010575687;0,021426098;0,120169786;0,289539586;0,579079172;1,251369272;1,540908858
12;18;0,683379429;0,683379429;0,017301669;0,035052782;0,19659601;0,473682524;0,947365049;2,04722181;2,520904334
13;19;1,090528809;1,090528809;0,027609799;0,055936815;0,313725588;0,755896969;1,511793939;3,266932348;4,022829318
14;20;1,661135063;1,661135063;0,042056299;0,08520509;0,477878777;1,151411085;2,30282217;4,976315918;6,127727003
15;21;2,363706504;2,363706504;0,059843867;0,121242294;0,679995986;1,638396499;3,276792998;7,081031861;8,71942836
16;22;3,099111584;3,099111584;0,078462712;0,158963643;0,891558843;2,148140456;4,296280913;9,284108591;11,43224905
17;23;3,746167825;3,746167825;0,094844758;0,192153289;1,077705324;2,596645666;5,193291331;11,22251585;13,81916152
18;24;4,23230956;4,23230956;0,107152801;0,2170891;1,217559585;2,933613439;5,867226877;12,67886634;15,61247978
19;25;4,554946276;4,554946276;0,115321255;0,2336382;1,310376385;3,157248169;6,314496337;13,64539956;16,80264773
20;26;4,751280693;4,751280693;0,120292012;0,243708839;1,366858277;3,293336817;6,586673633;14,23356491;17,52690173
21;27;4,864239333;4,864239333;0,123151877;0,24950286;1,399354452;3,371633779;6,743267558;14,57195876;17,94359254
22;28;4,927004026;4,927004026;0,124740942;0,252722268;1,417410729;3,415138949;6,830277899;14,75998497;18,17512392
23;29;4,96113771;4,96113771;0,125605132;0,254473097;1,427230378;3,438798616;6,877597231;14,86224035;18,30103897
24;30;4,979451145;4,979451145;0,126068788;0,255412453;1,432498825;3,451492522;6,902985043;14,9171025;18,36859502
25;31;4,989189215;4,989189215;0,126315335;0,255911951;1,435300293;3,458242437;6,916484875;14,94627515;18,40451759
26;32;4,994334923;4,994334923;0,126445613;0,256175891;1,436780621;3,461809171;6,923618342;14,96169031;18,42349949
27;33;4,997041132;4,997041132;0,126514128;0,256314702;1,437559149;3,463684972;6,927369944;14,96979739;18,43348236
28;34;4,998458978;4,998458978;0,126550025;0,256387428;1,437967038;3,464667748;6,929335495;14,97404488;18,43871263
29;35;9,99839889;7,069935656;1,210852491;1,776523067;4,805624259;8,390391341;13,46101704;23,71552487;27,85375655
30;36;18,44777466;9,223887332;5,026397707;6,301383476;11,69275399;16,93533731;23,56439173;35,75942711;40,4341695
31;37;10,83458365;5,417291825;2,95205939;3,700872741;6,867284729;9,946312338;13,83962987;21,00191006;23,74743837
32;38;4,98853882;2,49426941;1,359208931;1,703983091;3,161885825;4,579554399;6,37214434;9,669854147;10,93397051
33;39;2,882135032;1,441067516;0,785284793;0,984478529;1,8267838;2,645843731;3,681514987;5,586771276;6,317116212
34;40;2,063865506;1,031932753;0,562333888;0,704974352;1,308139983;1,894659879;2,636292785;4,000626063;4,523618118
35;41;1,687264037;0,843632018;0,459722662;0,576334973;1,069438654;1,548934011;2,155238311;3,270616453;3,698176138
